# file...... b1m1_house_data.csv
# date...... Thu Jun  9 21:11:55 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,b1m1_house:air_temperature, b1m1_house:outdoor_temperature, b1m1_house:is_COOL_on, b1m1_house:cooling_setpoint, b1m1_house_node:measured_real_power, b1m1_house_node:measured_real_energy, b1m1_batt_inv:VA_Out.real, b1m1_batt:state_of_charge, b1m1_batt_meter:measured_real_energy, b1m1_solar_inv:VA_Out.real, b1m1_solar_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+72.5,+63.052,+0,+73,+1499.99,+0,-607.953,+0.5,+0,+53.0228,+0
2009-08-08 04:30:05 PDT,+72.4841,+63.052,+0,+73,+1500.29,+2.08332,-607.958,+0.500078,+0.844379,+52.7322,-0.0736427
2009-08-08 04:30:10 PDT,+72.4686,+63.052,+0,+73,+1500.29,+4.16705,-607.958,+0.500157,+1.68876,+52.7286,-0.146882
2009-08-08 04:30:15 PDT,+72.4533,+63.052,+0,+73,+1500.29,+6.25079,-607.958,+0.500235,+2.53315,+52.7249,-0.220116
2009-08-08 04:30:20 PDT,+72.4384,+63.052,+0,+73,+1500.3,+8.33453,-607.958,+0.500314,+3.37754,+52.7213,-0.293345
2009-08-08 04:30:25 PDT,+72.4237,+63.052,+0,+73,+1500.3,+10.4183,-607.958,+0.500392,+4.22192,+52.7176,-0.366569
2009-08-08 04:30:30 PDT,+72.4094,+63.052,+0,+73,+1500.31,+12.502,-607.958,+0.500471,+5.06631,+52.714,-0.439788
2009-08-08 04:30:35 PDT,+72.3953,+63.052,+0,+73,+1500.31,+14.5858,-607.958,+0.500549,+5.91069,+52.7103,-0.513002
2009-08-08 04:30:40 PDT,+72.3814,+63.052,+0,+73,+1500.31,+16.6696,-607.958,+0.500628,+6.75508,+52.7067,-0.586211
2009-08-08 04:30:45 PDT,+72.3679,+63.052,+0,+73,+1500.32,+18.7533,-607.958,+0.500706,+7.59946,+52.703,-0.659414
2009-08-08 04:30:50 PDT,+72.3546,+63.052,+0,+73,+1500.32,+20.8371,-607.958,+0.500785,+8.44385,+52.6994,-0.732613
2009-08-08 04:30:55 PDT,+72.3416,+63.052,+0,+73,+1500.32,+22.9209,-607.958,+0.500863,+9.28824,+52.6957,-0.805807
2009-08-08 04:31:00 PDT,+72.3288,+63.085,+0,+73,+1500,+25.0046,-608.858,+0.500942,+10.1326,+53.9178,-0.878995
2009-08-08 04:31:05 PDT,+72.3164,+63.085,+0,+73,+1500.01,+27.088,-608.858,+0.50102,+10.9783,+53.9141,-0.953881
2009-08-08 04:31:10 PDT,+72.3042,+63.085,+0,+73,+1500.01,+29.1713,-608.858,+0.501099,+11.8239,+53.9103,-1.02876
2009-08-08 04:31:15 PDT,+72.2923,+63.085,+0,+73,+1500.01,+31.2547,-608.858,+0.501178,+12.6695,+53.9065,-1.10364
2009-08-08 04:31:20 PDT,+72.2806,+63.085,+0,+73,+1500.02,+33.338,-608.858,+0.501256,+13.5152,+53.9028,-1.17851
2009-08-08 04:31:25 PDT,+72.2691,+63.085,+0,+73,+1500.02,+35.4214,-608.858,+0.501335,+14.3608,+53.899,-1.25337
2009-08-08 04:31:30 PDT,+72.2579,+63.085,+0,+73,+1500.02,+37.5047,-608.858,+0.501413,+15.2064,+53.8952,-1.32823
2009-08-08 04:31:35 PDT,+72.2468,+63.085,+0,+73,+1500.03,+39.5881,-608.858,+0.501492,+16.0521,+53.8914,-1.40309
2009-08-08 04:31:40 PDT,+72.236,+63.085,+0,+73,+1500.03,+41.6715,-608.858,+0.501571,+16.8977,+53.8876,-1.47794
2009-08-08 04:31:45 PDT,+72.2254,+63.085,+0,+73,+1500.04,+43.7549,-608.858,+0.501649,+17.7434,+53.8839,-1.55278
