# file...... substation_data.csv
# date...... Fri Jun 24 09:48:02 2016
# user...... hard312
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 5
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A.real, measured_power_A.imag
2009-08-08 04:30:00 PDT,+7216-0.000108106d,+0.980283+0.12053j,+7073.72,-869.756
2009-08-08 04:30:05 PDT,+7216-0.000108113d,+0.980344+0.12053j,+7074.16,-869.754
2009-08-08 04:30:10 PDT,+7216-0.000108113d,+0.980345+0.120529j,+7074.17,-869.753
2009-08-08 04:30:15 PDT,+7216-0.000108113d,+0.980346+0.120529j,+7074.17,-869.753
2009-08-08 04:30:20 PDT,+7216-0.000108113d,+0.980346+0.120529j,+7074.18,-869.753
2009-08-08 04:30:25 PDT,+7216-0.000108113d,+0.980347+0.120529j,+7074.18,-869.753
2009-08-08 04:30:30 PDT,+7216-0.000108113d,+0.980347+0.120529j,+7074.18,-869.753
2009-08-08 04:30:35 PDT,+7216-0.000108113d,+0.980348+0.120529j,+7074.19,-869.753
2009-08-08 04:30:40 PDT,+7216-0.000108113d,+0.980348+0.120529j,+7074.19,-869.753
2009-08-08 04:30:45 PDT,+7216-0.000108113d,+0.980349+0.120529j,+7074.19,-869.753
2009-08-08 04:30:50 PDT,+7216-0.000108113d,+0.980349+0.120529j,+7074.2,-869.753
2009-08-08 04:30:55 PDT,+7216-0.000108113d,+0.98035+0.120529j,+7074.2,-869.753
2009-08-08 04:31:00 PDT,+7216-0.000108109d,+0.980305+0.12053j,+7073.88,-869.757
2009-08-08 04:31:05 PDT,+7216-0.000108109d,+0.980306+0.12053j,+7073.88,-869.755
2009-08-08 04:31:10 PDT,+7216-0.000108109d,+0.980306+0.12053j,+7073.89,-869.755
2009-08-08 04:31:15 PDT,+7216-0.000108109d,+0.980307+0.12053j,+7073.89,-869.755
2009-08-08 04:31:20 PDT,+7216-0.000108109d,+0.980307+0.12053j,+7073.89,-869.755
2009-08-08 04:31:25 PDT,+7216-0.000108109d,+0.980308+0.12053j,+7073.9,-869.755
2009-08-08 04:31:30 PDT,+7216-0.000108109d,+0.980308+0.12053j,+7073.9,-869.755
2009-08-08 04:31:35 PDT,+7216-0.000108109d,+0.980309+0.12053j,+7073.91,-869.755
2009-08-08 04:31:40 PDT,+7216-0.000108109d,+0.980309+0.12053j,+7073.91,-869.755
2009-08-08 04:31:45 PDT,+7216-0.000108109d,+0.98031+0.12053j,+7073.91,-869.755
