# file...... branch_1_meter_1.csv
# date...... Tue May 24 14:46:34 2016
# user...... hard312
# host...... (null)
# target.... meter 17
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2009-01-01 00:00:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:01:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:02:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:03:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:04:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:05:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:06:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:07:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:08:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:09:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:10:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:11:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:12:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:13:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:14:00 PST,+7209.97-0.035615d,+2.49518-2.4995j,+25464+45.0139d
2009-01-01 00:15:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:16:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:17:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:18:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:19:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:20:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:21:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:22:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:23:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:24:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:25:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:26:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:27:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:28:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:29:00 PST,+7206.65-0.0556035d,+3.88172-3.89048j,+39606.2+45.009d
2009-01-01 00:30:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:31:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:32:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:33:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:34:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:35:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:36:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:37:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:38:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:39:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:40:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:41:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:42:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:43:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:44:00 PST,+7203.92-0.0712958d,+4.99183-5.00915j,+50944.5+45.028d
2009-01-01 00:45:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:46:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:47:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:48:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:49:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:50:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:51:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:52:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:53:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:54:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:55:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:56:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:57:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:58:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
2009-01-01 00:59:00 PST,+7208.9-0.0412962d,+2.91173-2.92081j,+29731.2+45.0479d
