# file...... IEEE_13_house_Triplex_Line_Losses.csv
# date...... Mon Apr 09 14:06:51 2012
# user...... sing463
# host...... (null)
# group..... class=triplex_line AND groupid=Triplex_Line
# trigger... (none)
# interval.. 60
# limit..... 38880
# property.. timestamp,sum(power_losses_A.real),sum(power_losses_A.imag),sum(power_losses_B.real),sum(power_losses_B.imag),sum(power_losses_C.real),sum(power_losses_C.imag)
2010-06-05 00:00:00 PDT,+125.045,+37.6318,+39.1154,+3.2086,+0,+0
2010-06-05 00:01:00 PDT,+124.777,+37.5299,+39.1309,+3.22045,+0,+0
2010-06-05 00:02:00 PDT,+124.612,+37.4637,+39.1311,+3.22048,+0,+0
2010-06-05 00:03:00 PDT,+124.168,+37.298,+39.1626,+3.24497,+0,+0
2010-06-05 00:04:00 PDT,+119.479,+36.2072,+36.7449,+3.06433,+0,+0
2010-06-05 00:05:00 PDT,+114.486,+35.0491,+34.0657,+2.8328,+0,+0
2010-06-05 00:06:00 PDT,+100.16,+31.8016,+26.2542,+2.19463,+0,+0
2010-06-05 00:07:00 PDT,+91.7322,+29.8772,+21.4019,+1.70273,+0,+0
2010-06-05 00:08:00 PDT,+83.326,+27.9609,+16.8761,+1.3408,+0,+0
2010-06-05 00:09:00 PDT,+78.2599,+26.7921,+14.216,+1.13578,+0,+0
2010-06-05 00:10:00 PDT,+69.3681,+24.6794,+9.84074,+0.832292,+0,+0
2010-06-05 00:11:00 PDT,+66.8706,+24.0974,+8.48298,+0.706829,+0,+0
2010-06-05 00:12:00 PDT,+61.7262,+22.9011,+5.77582,+0.486811,+0,+0
2010-06-05 00:13:00 PDT,+57.0938,+21.8996,+2.79461,+0.146787,+0,+0
2010-06-05 00:14:00 PDT,+55.0911,+21.3924,+1.98989,+0.119402,+0,+0
2010-06-05 00:15:00 PDT,+54.6324,+21.2086,+1.98995,+0.119409,+0,+0
2010-06-05 00:16:00 PDT,+54.1867,+21.0434,+1.91804,+0.103978,+0,+0
2010-06-05 00:17:00 PDT,+53.8292,+20.9002,+1.91802,+0.103975,+0,+0
2010-06-05 00:18:00 PDT,+55.2908,+21.204,+2.73367,+0.14903,+0,+0
2010-06-05 00:19:00 PDT,+55.0395,+21.1033,+2.73362,+0.149024,+0,+0
2010-06-05 00:20:00 PDT,+53.6532,+20.7444,+2.12843,+0.102979,+0,+0
2010-06-05 00:21:00 PDT,+53.3138,+20.6084,+2.12854,+0.102992,+0,+0
2010-06-05 00:22:00 PDT,+53.206,+20.5652,+2.12863,+0.103003,+0,+0
2010-06-05 00:23:00 PDT,+51.263,+20.0618,+1.417,+0.0928699,+0,+0
2010-06-05 00:24:00 PDT,+48.3175,+19.3566,+1.33894e-011,+2.37922e-012,+0,+0
2010-06-05 00:25:00 PDT,+47.9172,+19.1963,+1.33357e-011,+9.37881e-014,+0,+0
2010-06-05 00:26:00 PDT,+47.7014,+19.1098,+1.30048e-011,+5.22761e-013,+0,+0
2010-06-05 00:27:00 PDT,+48.3695,+19.2283,+0.471838,+0.0399128,+0,+0
2010-06-05 00:28:00 PDT,+48.1529,+19.1416,+0.471818,+0.03991,+0,+0
2010-06-05 00:29:00 PDT,+47.9065,+19.0429,+0.471842,+0.0399133,+0,+0
2010-06-05 00:30:00 PDT,+47.6433,+18.9374,+0.471858,+0.0399154,+0,+0
2010-06-05 00:31:00 PDT,+47.336,+18.8143,+0.471883,+0.0399188,+0,+0
2010-06-05 00:32:00 PDT,+46.2314,+18.5209,+1.34901e-011,-1.83214e-012,+0,+0
2010-06-05 00:33:00 PDT,+46.9436,+18.6259,+0.635204,+0.07415,+0,+0
2010-06-05 00:34:00 PDT,+46.6559,+18.5106,+0.635257,+0.0741579,+0,+0
