# file...... branch_2_meters.csv
# date...... Tue Aug  2 12:44:14 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,branch_2_meter_1:measured_voltage_A, branch_2_meter_1:measured_current_A, branch_2_meter_1:measured_power_A, branch_2_meter_2:measured_voltage_A, branch_2_meter_2:measured_current_A, branch_2_meter_2:measured_power_A, branch_2_meter_3:measured_voltage_A, branch_2_meter_3:measured_current_A, branch_2_meter_3:measured_power_A
2009-01-01 01:51:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:52:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:53:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:54:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:55:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:56:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:57:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:58:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 01:59:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:00:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:01:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:02:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:03:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:04:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:05:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:06:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:07:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:08:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:09:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:10:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:11:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:12:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:13:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:14:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:15:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:16:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:17:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:18:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:19:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:20:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:21:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:22:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:23:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:24:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:25:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:26:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:27:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:28:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:29:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:30:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:31:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:32:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:33:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:34:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:35:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:36:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:37:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:38:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:39:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:40:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:41:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:42:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:43:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:44:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:45:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:46:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:47:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:48:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:49:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:50:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:51:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:52:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:53:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:54:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:55:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:56:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:57:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:58:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
2009-01-01 02:59:00 PST,+7193.36-0.049647d,+45.5027-17.7916j,+351448+21.3059d,+7115.98-0.188369d,+45.5027-17.7916j,+347668+21.1672d,+7041.76-0.59862d,+11.5107-12.9019j,+121754+47.663d
