# file...... b2m3_house_data.csv
# date...... Wed Jun  1 14:13:03 2016
# user...... hard312
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,b2m3_house:air_temperature, b2m3_house:outdoor_temperature, b2m3_house:is_COOL_on, b2m3_house:cooling_setpoint, b2m3_house_meter:measured_real_power, b2m3_house_meter:measured_real_energy
2009-08-08 04:30:00 PDT,+73,+63.052,+0,+73.5,+1277.48,+0
2009-08-08 04:31:00 PDT,+72.9318,+63.085,+0,+73.5,+1277.48,+21.2914
2009-08-08 04:32:00 PDT,+72.8761,+63.118,+0,+73.5,+1277.48,+42.5828
2009-08-08 04:33:00 PDT,+72.8307,+63.151,+0,+73.5,+1277.48,+63.8742
2009-08-08 04:34:00 PDT,+72.7936,+63.184,+0,+73.5,+1277.48,+85.1656
2009-08-08 04:35:00 PDT,+72.7635,+63.217,+0,+73.5,+1277.48,+106.457
2009-08-08 04:36:00 PDT,+72.7391,+63.25,+0,+73.5,+1277.48,+127.748
2009-08-08 04:37:00 PDT,+72.7194,+63.283,+0,+73.5,+1277.48,+149.04
2009-08-08 04:38:00 PDT,+72.7036,+63.316,+0,+73.5,+1277.48,+170.331
2009-08-08 04:39:00 PDT,+72.691,+63.349,+0,+73.5,+1277.48,+191.623
2009-08-08 04:40:00 PDT,+72.681,+63.382,+0,+73.5,+1277.48,+212.914
2009-08-08 04:41:00 PDT,+72.6734,+63.415,+0,+73.5,+1277.48,+234.205
2009-08-08 04:42:00 PDT,+72.6675,+63.448,+0,+73.5,+1277.48,+255.497
2009-08-08 04:43:00 PDT,+72.6633,+63.481,+0,+73.5,+1277.48,+276.788
2009-08-08 04:44:00 PDT,+72.6604,+63.514,+0,+73.5,+1277.48,+298.079
2009-08-08 04:45:00 PDT,+72.6586,+63.547,+0,+73.5,+1277.48,+319.371
2009-08-08 04:46:00 PDT,+72.6578,+63.58,+0,+73.5,+1277.48,+340.662
2009-08-08 04:47:00 PDT,+72.6579,+63.613,+0,+73.5,+1277.48,+361.954
2009-08-08 04:48:00 PDT,+72.6587,+63.646,+0,+73.5,+1277.48,+383.245
2009-08-08 04:49:00 PDT,+72.6602,+63.679,+0,+73.5,+1277.48,+404.536
2009-08-08 04:50:00 PDT,+72.6622,+63.712,+0,+73.5,+1277.48,+425.828
2009-08-08 04:51:00 PDT,+72.6648,+63.745,+0,+73.5,+1277.48,+447.119
2009-08-08 04:52:00 PDT,+72.6679,+63.778,+0,+73.5,+1277.48,+468.411
2009-08-08 04:53:00 PDT,+72.6714,+63.811,+0,+73.5,+1277.48,+489.702
2009-08-08 04:54:00 PDT,+72.6753,+63.844,+0,+73.5,+1277.48,+510.993
2009-08-08 04:55:00 PDT,+72.6795,+63.877,+0,+73.5,+1277.48,+532.285
2009-08-08 04:56:00 PDT,+72.6842,+63.91,+0,+73.5,+1277.48,+553.576
2009-08-08 04:57:00 PDT,+72.6891,+63.943,+0,+73.5,+1277.48,+574.868
